Title,Year,Cited by,Link,Abstract,Latin Ratio
What does eye-blink rate variability dynamics tell us about cognitive performance?,2017,36,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041000592&doi=10.3389%2ffnhum.2017.00620&partnerID=40&md5=238241c9cc3d3be997bcf340001fb68d,"Cognitive performance is defined as the ability to utilize knowledge, attention, memory, and working memory. In this study, we briefly discuss various markers that have been proposed to predict cognitive performance. Next, we develop a novel approach to characterize cognitive performance by analyzing eye-blink rate variability dynamics. Our findings are based on a sample of 24 subjects. The subjects were given a 5-min resting period prior to a 10-min IQ test. During both stages, eye blinks were recorded from Fp1 and Fp2 electrodes. We found that scale exponents estimated for blink rate variability during rest were correlated with subjects’ performance on the subsequent IQ test. This surprising phenomenon could be explained by the person to person variation in concentrations of dopamine in PFC and accumulation of GABA in the visual cortex, as both neurotransmitters play a key role in cognitive processes and affect blinking. This study demonstrates the possibility that blink rate variability dynamics at rest carry information about cognitive performance and can be employed in the assessment of cognitive abilities without taking a test. © 2017 Paprocki and Lenskiy.",0.4293785310734463
Achievement goals and life satisfaction: The mediating role of perception of successful agency and the moderating role of emotion reappraisal,2017,13,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039039270&doi=10.1186%2fs41155-017-0078-4&partnerID=40&md5=57c65a1404b513cbbfa0ff79e456784d,"Achievement goals are cognitive representations that guide behavior to a competence-related future end state. Existing theories and empirical findings suggest that achievement goals are potentially related to life satisfaction. However, the relationship between achievement goals and life satisfaction remains relatively unexplored in the psychology literature. In this study, we examined how, why, and when achievement goals affect life satisfaction using original survey data from China. The results suggest that achievement goals were positively related to life satisfaction (R2 = .20, 90% CI [.11, .26]), that the perception of successful agency fully mediated the relationship between achievement goals and life satisfaction (R2 = .22, 90% CI [.12, .27]), and that emotion reappraisal moderated the relationship between achievement goals and life satisfaction (R2 = .34, 90% CI [.23, .39]). Our study indicates that achievement goals have a positive influence on life satisfaction and help to elucidate the mechanism and boundary condition of this influence. © The Author(s). 2017.",0.45323741007194246
Arcontrol: An arduino-based comprehensive behavioral platform with real-time performance,2017,14,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042044143&doi=10.3389%2ffnbeh.2017.00244&partnerID=40&md5=4f0292919d24325398b2b35c86475c7f,"Studying animal behavior in the labrequires reliable delivering stimulations and monitoring responses. We constructed a comprehensive behavioral platform (ArControl: Arduino Control Platform) that was an affordable, easy-to-use, high-performance solution combinedsoftware andhardware components. The hardware component was consisted of an Arduino UNO board and a simple drive circuit. As for software, the ArControl provided a stand-alone and intuitive GUI (graphical user interface) application that did not require users to master scripts. The experiment data were automatically recorded with the built in DAQ (data acquisition) function. The ArControl also allowed the behavioral schedule to be entirely stored in and operated on the Arduino chip. This made the ArControl a genuine, real-time system with high temporal resolution (<1ms). We tested the ArControl, based on strict performance measurements and two mice behavioral experiments. The results showed that the ArControl was an adaptive and reliable system suitable for behavioral research. © 2017 Chen and Li.",0.3918918918918919
Relationship between self-rated health and lifestyle and food habits in Japanese high school students,2017,12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064269762&doi=10.3390%2fbs7040071&partnerID=40&md5=b63b7eb35d4fcd1bc855b1fb7cf54f03,"Self-rated health (SRH), a subjective assessment of health status, is extensively used in the field of public health. It is an important and valid measure that is strongly related to morbidity, mortality, longevity and health status. Adolescence is a crucial period for the formation of health status, because health-risk behaviours (e.g., skipping breakfast) are often established during this period. In this study, we investigated the relationship of SRH with lifestyle and eating habits in Japanese high school students. In this study, 1296 students aged 16-18 years from 11 high schools in Japan participated. A questionnaire was administered to these participants that included a question on SRH, five questions on demographic characteristics, six questions on lifestyle items (e.g., wake-up time), five questions on miscellaneous health issues (e.g., anorexia), and 25 questions on food habits and attitudes towards food. We examined the differences between self-rated healthy and unhealthy groups using logistic regression analysis adjusted for gender and age. A dichotomy regression analysis was performed using a stepwise elimination method. Of the 1296 respondents, 16.7%reported feeling unhealthy, 57.7%of whom were females. The self-rated healthy group had a higher frequency of eating breakfast (odds ratio (OR): 2.13; confidence interval (CI): 1.07-4.24) and liked home meals to a greater extent (OR: 3.12; CI: 1.27-7.65) than the self-rated unhealthy group. The two groups did not differ significantly in terms of other lifestyle factors or unidentified complaints. Our results suggest that liking home meals during adolescence may lead to the development of good eating habits, i.e., eating breakfast, and better SRH. © 2017 by the authors. Licensee MDPI, Basel, Switzerland.",0.4166666666666667
The time course of morphological processing during spoken word recognition in Chinese,2017,2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016467198&doi=10.3758%2fs13423-017-1274-z&partnerID=40&md5=5ae1d61845d9b280365b5ea8b14db2e5,"We investigated the time course of morphological processing during spoken word recognition using the printed-word paradigm. Chinese participants were asked to listen to a spoken disyllabic compound word while simultaneously viewing a printed-word display. Each visual display consisted of three printed words: a semantic associate of the first constituent of the compound word (morphemic competitor), a semantic associate of the whole compound word (whole-word competitor), and an unrelated word (distractor). Participants were directed to detect whether the spoken target word was on the visual display. Results indicated that both the morphemic and whole-word competitors attracted more fixations than the distractor. More importantly, the morphemic competitor began to diverge from the distractor immediately at the acoustic offset of the first constituent, which was earlier than the whole-word competitor. These results suggest that lexical access to the auditory word is incremental and morphological processing (i.e., semantic access to the first constituent) that occurs at an early processing stage before access to the representation of the whole word in Chinese. © 2017, Psychonomic Society, Inc.",0.38235294117647056
Gaze patterns in auditory-visual perception of emotion by children with hearing aids and hearing children,2017,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038860391&doi=10.3389%2ffpsyg.2017.02281&partnerID=40&md5=14712ad55143573761707596955d22d9,"This study investigated eye-movement patterns during emotion perception for children with hearing aids and hearing children. Seventy-eight participants aged from 3 to 7 were asked to watch videos with a facial expression followed by an oral statement, and these two cues were either congruent or incongruent in emotional valence. Results showed that while hearing children paid more attention to the upper part of the face, children with hearing aids paid more attention to the lower part of the face after the oral statement was presented, especially for the neutral facial expression/neutral oral statement condition. These results suggest that children with hearing aids have an altered eye contact pattern with others and a difficulty in matching visual and voice cues in emotion perception. The negative cause and effect of these gaze patterns should be avoided in earlier rehabilitation for hearing-impaired children with assistive devices. © 2017 Wang, Zhou, Cheng and Bian.",0.4383561643835616
Insomnia partially mediated the association between problematic Internet use and depression among secondary school students in China,2017,67,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039795568&doi=10.1556%2f2006.6.2017.085&partnerID=40&md5=5e2f2b65ceef4d03442369eeebf573af,"Background and aims: This study aims to examine the mediating effects of insomnia on the associations between problematic Internet use, including Internet addiction (IA) and online social networking addiction (OSNA), and depression among adolescents. Methods: A total of 1,015 secondary school students from Guangzhou in China participated in a cross-sectional survey. Levels of depression, insomnia, IA, and OSNA were assessed using the Center for Epidemiological Studies-Depression Scale, Pittsburgh Sleep Quality Index, Young's Diagnostic Questionnaire, and Online Social Networking Addiction Scale, respectively. Logistic regression models were fit to test the associations between IA, OSNA, insomnia, and depression. The mediation effects of insomnia were tested using Baron and Kenny's strategy. Results: The prevalence of depression at moderate level or above (CES-D ≥ 21), insomnia, IA, and OSNA were 23.5%, 37.2%, 8.1%, and 25.5%, respectively. IA and OSNA were significantly associated with depression (IA: AOR = 2.79, 95% CI: 1.71, 4.55; OSNA: AOR = 3.27, 95% CI: 2.33, 4.59) and insomnia (IA: AOR = 2.83, 95% CI: 1.72, 4.65; OSNA: AOR = 2.19, 95% CI: 1.61, 2.96), after adjusting for significant background factors. Furthermore, insomnia partially mediated 60.6% of the effect of IA on depression (Sobel Z = 3.562, p < .002) and 44.8% of the effect of OSNA on depression (Sobel Z = 3.919, p < .001), respectively. Discussion: The high prevalence of IA and OSNA may be associated with increased risk of developing depression among adolescents, both through direct and indirect effects (via insomnia). Findings from this study indicated that it may be effective to develop and implement interventions that jointly consider the problematic Internet use, insomnia, and depression. © 2017 The Author(s).",0.48497854077253216
Semantic radicals contribute more than phonetic radicals to the recognition of Chinese Phonograms: Behavioral and ERP evidence in a factorial study,2017,13,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038368249&doi=10.3389%2ffpsyg.2017.02230&partnerID=40&md5=bc0244dba6edd8465df5465a3b4067e1,"The Chinese phonograms consist of a semantic radical and a phonetic radical. The two types of radicals have different functional contributions to their host phonogram. The semantic radical typically signifies the meaning of the phonogram, while the phonetic radical usually contains a phonological clue to the phonogram's pronunciation. However, it is still unclear how they interplay with each other when we attempt to recognize a phonogram because previous studies rarely manipulated the functionality of the two types of radicals in a single design. Using a full factorial design, the present study aimed to probe this issue by directly manipulating the functional validity of the two types of radicals in a lexical decision task with both behavioral and event-related potential (ERP) measurements. The results showed that recognition of phonograms which were related to their semantic radicals in meaning took a shorter reaction time, showed a lower error rate, and elicited a smaller P200 and a larger N400 than did recognition of those which had no semantic relation with their semantic radicals. However, the validity of phonetic radicals did not show any main effect or interaction with that of semantic radicals on either behavioral or ERP measurements. These results indicated that semantic radicals played a dominant role in the recognition of phonograms. Transparent semantic radicals, which provide valid semantic cues to phonograms, can facilitate the recognition of phonograms. © 2017 Wang, Pei, Wu and Su.",0.42857142857142855
Visual search for wines with a triangle on the label in a virtual store,2017,27,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037854698&doi=10.3389%2ffpsyg.2017.02173&partnerID=40&md5=ac676d4eea20424db309f9ea1e540cda,"Two experiments were conducted in a virtual reality (VR) environment in order to investigate participants' in-store visual search for bottles of wines displaying a prominent triangular shape on their label. The experimental task involved virtually moving along a wine aisle in a virtual supermarket while searching for the wine bottle on the shelf that had a different triangle on its label from the other bottles. The results of Experiment 1 revealed that the participants identified the bottle with a downward-pointing triangle on its label more rapidly than when looking for an upward-pointing triangle on the label instead. This finding replicates the downward-pointing triangle superiority (DPTS) effect, though the magnitude of this effect was more pronounced in the first as compared to the second half of the experiment, suggesting a modulating role of practice. The results of Experiment 2 revealed that the DPTS effect was also modulated by the location of the target on the shelf. Interestingly, however, the results of a follow-up survey demonstrate that the orientation of the triangle did not influence the participants' evaluation of the wine bottles. Taken together, these findings reveal how in-store the attention of consumers might be influenced by the design elements in product packaging. These results therefore suggest that shopping in a virtual supermarket might offer a practical means of assessing the shelf standout of product packaging, which has important implications for food marketing. © 2017 Zhao, Huang, Spence and Wan.",0.3888888888888889
Pragmatic ability deficit in schizophrenia and associated theory of mind and executive function,2017,18,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037739863&doi=10.3389%2ffpsyg.2017.02164&partnerID=40&md5=8690142b17d48d44a95bac0e26e37cc6,"Deficits in pragmatic abilities have frequently been observed in patients with schizophrenia. The objective of the study was to investigate the relationship between pragmatic deficits, ToM deficits and executive dysfunctions in schizophrenia. A group of 42 schizophrenic patients and 42 healthy controls were assessed on irony task (one type of pragmatic language), two subcomponents of ToM (cognitive and affective), and three subcomponents of EF (inhibition, updating, and switching). The clinical symptoms in schizophrenia were assessed using the positive and negative symptoms of schizophrenia. The schizophrenia group exhibited significant impairments in all above tasks compared to the control group. Correlation results found that irony scores were correlated with the two subcomponents of ToM and two of the three subcomponents of EF (inhibition and updating). The regression analysis revealed that the cognitive ToM and inhibition predicted 9.2% and 29.9% of the variance of irony comprehension in the patient group, and inhibition was the best predictor for performance on irony task. Irony understanding was related to positive symptoms, but not to negative symptoms. The results suggest that the ability to interpret pragmatic language depends on schizophrenic patients' ability to infer mental states and the ability of inhibition. It provides empirical evidence for a particular target of inhibition for rehabilitation and intervention programs developed for schizophrenic patients. © 2017 Li, Hu, Deng, Tao, Hu, Yang, Wang, Tao, Yang and Zhang.",0.4727272727272727
How are changes in exposure to job demands and job resources related to burnout and engagement? A longitudinal study among Chinese nurses and police officers,2017,83,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017100501&doi=10.1002%2fsmi.2750&partnerID=40&md5=69694fd74270d06bce1b2f5374873bf9,"This study used a person-centered approach to examine the across-time relationships between job demands and job resources on the one hand and employee well-being (burnout and work engagement) on the other. On the basis of the job demands–resources model and conservation of resources (COR) theory, increases in demands and decreases in resources across time were expected to result in unfavorable changes in well-being across time. The results of a 2-wave study among 172 nurses and 273 police officers showed several common patterns across both samples: (a) participants who experienced an increase of demands showed a significant increase in burnout, whereas participants who reported having low resources at both measurement times also showed a significant increase in burnout; (b) participants who experienced decreasing resources reported a significant increase in burnout and a significant decrease in engagement; (c) participants who were exposed to chronic low job resources in a highly demanding environment showed a significant increase in burnout; and (d) participants who were exposed to decreased job resources in a highly demanding environment showed a significant increase in burnout. Copyright © 2017 John Wiley & Sons, Ltd.",0.4722222222222222
Environmentally benign Fe(III)–montmorillonite for rapid adsorption of methylene blue dye in aqueous medium under ambient conditions,2017,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034419704&doi=10.1186%2fs40691-017-0087-z&partnerID=40&md5=c6705c9f1c4bfc920a6c39255102ae03,"Herein we have explored the highly efficient and environmentally benign clay mineral, Fe(III)–montmorillonite [Fe(III)–Mt], for adsorption of methylene blue (MB) dye from aqueous solution under ambient conditions. The Fe(III)–Mt was interacted with MB dye solution at different pH, temperature and solid-to-liquid ratio. The concentration of MB dye removal was estimated from its optical density at λmax = 665 nm using UV–Vis spectrophotometer. The MB dye removal was rapid at basic pH and increases with temperature up to 40 °C. A complete reduction (100%) was occurred in about 7 min at pH 7 and 10 while at pH 3 in about 10 min. The time taken for complete reduction at 0, 30 and 40 °C are 10, 7 and 5 min respectively. The removal followed by adsorption of dye molecules on the spent clay mineral was evident from FESEM/EDX analysis. More importantly, Fe(III)–Mt could be separated and retrieved easily after the reaction by centrifugation from the degraded MB dye solution. The experimental results of MB dye removal from Fe(III)–Mt follows the pseudo first order kinetics. This study reveals that Fe(III)–Mt has the potential to be used as reductant/adsorbant to remove cationic pollutants effectively and rapidly from drinking water and large scale of industrial wastewater. © 2017, The Author(s).",0.4052631578947368
"The deeper the love, the deeper the hate",2017,16,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037668701&doi=10.3389%2ffpsyg.2017.01940&partnerID=40&md5=9ccc6bdc6cdf220bae0af2baa738492c,"Love and hate are basic human affects. Previous research has focused on the classification, functions, and other aspects of these two affects. However, few studies have been conducted on the relationship between love and hate. The present study investigated whether similarity within romantic partners was associated with greater feelings of love in the absence of betrayal, and greater hate induced in the presence of betrayal by using vignettes to induce love and hate in a sample of 59 young adults. The results showed that people who shared similar values and interests with the target persons were more likely to experience stronger love. Additionally, stronger feelings of love were associated with greater hate after the relationship was broken, suggesting a link between romantic love and hate. Our study revealed a complex picture of love and hate. People have different emotional reactions toward different target persons in the context of romantic love and hate. If one loves someone deeply and sometimes hates that person, the feeling of love may still be dominant in the context of betrayal. However, if one does not love that person, hate will be a much stronger feeling than love. © 2017 Jin, Xiang and Lei.",0.4512820512820513
Maltreatment related trauma symptoms affect academic achievement through cognitive functioning: A preliminary examination in Japan,2017,3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090226411&doi=10.3390%2fjintelligence5040032&partnerID=40&md5=742813f91f93f0193d1e65ad2bee962c,"Child abuse and neglect could have some deleterious impacts on both intellectual and academic performance of school students. The aim of this study was to examine relationships among child maltreatment, trauma symptoms, cognitive functioning, and academic achievement. Data were collected from child guidance centers, where maltreated children were substantiated, assessed, evaluated, protected, and treated clinically. The selection criteria for subjects included Japanese children (1) who had a history of maltreatment; (2) whose IQs were measured using the Kaufman Assessment Battery for Children second edition (KABC-II); and (3) whose traumatic stress was evaluated using the Trauma Symptom Checklist for Children alternate version (TSCC-A). Covariance structure analysis showed the model that explains the relations of trauma symptom (measured by TSCC-A) on academic achievement (measured by KABC-II) as being intervened by cognitive functioning (measured by KABC-II). © 2017 by the author. Licensee MDPI, Basel, Switzerland.",0.4306569343065693
